"SYMBOL 
","ISSUE PRICE 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
","VALUE ","52W H 
","52W L 
","30D   %CHNG 
","365 D 
","365 D % CHNG 
","30 D 
"
"SGBOCT25V","2,921.00","-","-","-","6,300.00","6,300.00","-","-","-","-","6,428.60","5,640.00","-","01-Mar-2023","14.55","-"
"SGBNOV25VI","2,895.00","-","-","-","6,269.99","6,269.99","-","-","-","-","6,450.00","5,440.00",0.32,"03-Mar-2023","14.63","01-Feb-2024"
"SGBDEC26","3,069.00","-","-","-","6,220.21","6,220.21","-","-","-","-","6,515.05","5,335.00",-0.48,"03-Mar-2023","15.83","02-Feb-2024"
"SGBOCT26","3,096.00","-","-","-","6,221.06","6,221.06","-","-","-","-","6,419.94","5,361.00",-0.7,"03-Mar-2023","15.31","02-Feb-2024"
"SGBMAY26","3,064.00","-","-","-","6,203.01","6,203.01","-","-","-","-","6,500.00","5,400.00",-0.91,"03-Mar-2023","13.30","02-Feb-2024"
"SGBOCT25","2,906.00","-","-","-","6,300.00","6,300.00","-","-","-","-","6,565.00","5,475.00",1.24,"02-Mar-2023","14.55","01-Feb-2024"
"SGBNOV258","2,911.00","-","-","-","6,201.01","6,201.01","-","-","-","-","6,400.00","5,433.00",-0.62,"02-Mar-2023","13.13","02-Feb-2024"
"SGBOCT25IV","2,937.00","-","-","-","6,202.02","6,202.02","-","-","-","-","6,429.00","5,440.00",-1.24,"03-Mar-2023","11.35","02-Feb-2024"
"SGBMAY25","2,901.00","-","-","-","6,295.00","6,295.00","-","-","-","-","6,409.00","5,401.19",0.72,"03-Mar-2023","14.45","02-Feb-2024"
"SGBMAR25","2,893.00","-","-","-","6,252.01","6,252.01","-","-","-","-","6,590.00","5,382.00",-0.29,"03-Mar-2023","11.98","02-Feb-2024"
"SGBAUG24","3,119.00","-","-","-","6,293.50","6,293.50","-","-","-","-","6,410.00","5,406.00",0.65,"03-Mar-2023","14.91","02-Feb-2024"
"SGBJUL25","2,780.00","-","-","-","6,275.00","6,275.00","-","-","-","-","6,350.00","5,326.00",0.56,"03-Mar-2023","16.04","02-Feb-2024"
"SGBFEB32IV","-","6,221.00","6,221.00","6,210.02","6,215.89","6,215.89","-","-","42","2,61,163.56","6,250.00","6,161.00","-","-","-","-"
"SGBSEP24","3,150.00","-","-","-","6,280.00","6,280.00","-","-","-","-","6,459.00","5,480.00",0.25,"03-Mar-2023","13.05","02-Feb-2024"
"SGBNOV24","2,957.00","-","-","-","6,298.00","6,298.00","-","-","-","-","6,400.00","5,400.00",0.77,"03-Mar-2023","14.51","02-Feb-2024"
